Epoch 230, Validation Loss: 0.047
Epoch 231, Validation Loss: 0.044
Epoch 232, Validation Loss: 0.049
Epoch 233, Validation Loss: 0.043
Epoch 234, Validation Loss: 0.041
Epoch 235, Validation Loss: 0.049
Epoch 236, Validation Loss: 0.051
Epoch 237, Validation Loss: 0.048
Epoch 238, Validation Loss: 0.041
Epoch 239, Validation Loss: 0.037
Epoch 240, Validation Loss: 0.042
Epoch 241, Validation Loss: 0.042
Epoch 242, Validation Loss: 0.040
Epoch 243, Validation Loss: 0.038
Epoch 244, Validation Loss: 0.043
Epoch 245, Validation Loss: 0.042
Epoch 246, Validation Loss: 0.039
Epoch 247, Validation Loss: 0.046
Epoch 248, Validation Loss: 0.040
Epoch 249, Validation Loss: 0.037
Epoch 250, Validation Loss: 0.039
Epoch 251, Validation Loss: 0.039
Epoch 252, Validation Loss: 0.042
Epoch 253, Validation Loss: 0.039
Epoch 254, Validation Loss: 0.038
Epoch 255, Validation Loss: 0.038
Epoch 256, Validation Loss: 0.044
Epoch 257, Validation Loss: 0.049
Epoch 258, Validation Loss: 0.046
Epoch 259, Validation Loss: 0.043
Epoch 260, Validation Loss: 0.043
Epoch 261, Validation Loss: 0.043
Epoch 262, Validation Loss: 0.047
Epoch 263, Validation Loss: 0.046
Epoch 264, Validation Loss: 0.043
Epoch 265, Validation Loss: 0.042
Epoch 266, Validation Loss: 0.053
Epoch 267, Validation Loss: 0.059
Epoch 268, Validation Loss: 0.048
Epoch 269, Validation Loss: 0.048
Epoch 270, Validation Loss: 0.040
Epoch 271, Validation Loss: 0.046
Epoch 272, Validation Loss: 0.047
Epoch 273, Validation Loss: 0.045
Epoch 274, Validation Loss: 0.053
Epoch 275, Validation Loss: 0.043
Epoch 276, Validation Loss: 0.046
Epoch 277, Validation Loss: 0.051
Epoch 278, Validation Loss: 0.046
Epoch 279, Validation Loss: 0.049
Epoch 280, Validation Loss: 0.049
Epoch 281, Validation Loss: 0.046
Epoch 282, Validation Loss: 0.046
Epoch 283, Validation Loss: 0.042
Epoch 284, Validation Loss: 0.039
Epoch 285, Validation Loss: 0.044
Epoch 286, Validation Loss: 0.041
Epoch 287, Validation Loss: 0.045
Epoch 288, Validation Loss: 0.048
Epoch 289, Validation Loss: 0.045
Epoch 290, Validation Loss: 0.048
Epoch 291, Validation Loss: 0.040
Epoch 292, Validation Loss: 0.046
Epoch 293, Validation Loss: 0.035
Epoch 294, Validation Loss: 0.043
Epoch 295, Validation Loss: 0.047
Epoch 296, Validation Loss: 0.048
Epoch 297, Validation Loss: 0.045
Epoch 298, Validation Loss: 0.044
Epoch 299, Validation Loss: 0.042
Epoch 300, Validation Loss: 0.049
Epoch 301, Validation Loss: 0.045
Epoch 302, Validation Loss: 0.048
Epoch 303, Validation Loss: 0.042
Epoch 304, Validation Loss: 0.049
Epoch 305, Validation Loss: 0.048
Epoch 306, Validation Loss: 0.044
Epoch 307, Validation Loss: 0.048
Epoch 308, Validation Loss: 0.066
Epoch 309, Validation Loss: 0.044
Epoch 310, Validation Loss: 0.044
Epoch 311, Validation Loss: 0.040
Epoch 312, Validation Loss: 0.044
Epoch 313, Validation Loss: 0.047
Epoch 314, Validation Loss: 0.045
Epoch 315, Validation Loss: 0.043
Epoch 316, Validation Loss: 0.047
Epoch 317, Validation Loss: 0.049
Epoch 318, Validation Loss: 0.045
Epoch 319, Validation Loss: 0.052
Epoch 320, Validation Loss: 0.042
Epoch 321, Validation Loss: 0.042
Epoch 322, Validation Loss: 0.040
Epoch 323, Validation Loss: 0.052
Epoch 324, Validation Loss: 0.040
Epoch 325, Validation Loss: 0.045
Epoch 326, Validation Loss: 0.044
Epoch 327, Validation Loss: 0.050
Epoch 328, Validation Loss: 0.051
Epoch 329, Validation Loss: 0.044
Epoch 330, Validation Loss: 0.046
Epoch 331, Validation Loss: 0.044
Epoch 332, Validation Loss: 0.053
Epoch 333, Validation Loss: 0.056
Epoch 334, Validation Loss: 0.050
Epoch 335, Validation Loss: 0.046
